algorithmName,terrainType,randomSeed,boardSize,numObjects,collectedDamon,returnedHome,objectsCollected,stepsTaken,runtime,estimationNoise,startingBattery,usedBattery,,,,,,,,,,,,,,,,
Greedy,Pure Random,7.13E+18,64,3,true,true,3,229,344600,0.1,409.6,44.3831328,,,,,,,,,,,,,,,,
Ants,Pure Random,7.13E+18,64,3,true,false,2,555,1.08E+11,0.1,409.6,96.71281933,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,4.06E+18,64,3,true,true,3,197,24625195100,0.1,204.8,35.60457037,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,4.06E+18,64,3,true,true,2,913,711600,0.1,204.8,177.9451986,,,,,,,,,,,,,,,,
Ants,Pure Random,4.06E+18,64,3,true,true,3,1097,2.86E+11,0.1,204.8,185.4428013,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-4.53E+17,64,3,true,true,3,255,32769257100,0.1,102.4,49.55856516,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-4.53E+17,64,3,true,true,3,339,386100,0.1,102.4,64.65119604,,,,,,,,,,,,,,,,
Ants,Pure Random,-4.53E+17,64,3,true,false,2,648,1.17E+11,0.1,102.4,102.3161858,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,6.12E+17,64,3,true,true,2,257,36196496100,0.1,51.2,48.42622491,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,6.12E+17,64,3,true,true,2,109,124000,0.1,51.2,24.28671467,,,,,,,,,,,,,,,,
Ants,Pure Random,6.12E+17,64,3,true,false,1,306,54886733800,0.1,51.2,50.94798179,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-6.30E+18,64,3,true,true,2,117,14811065800,0.1,25.6,23.90718082,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-6.30E+18,64,3,false,false,0,164,129900,0.1,25.6,25.54192726,,,,,,,,,,,,,,,,
Ants,Pure Random,-6.30E+18,64,3,true,false,1,162,28193738900,0.1,25.6,25.46463418,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-2.15E+18,64,3,true,true,3,233,29542943000,0.2,409.6,47.35882874,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-2.15E+18,64,3,true,true,3,137,164600,0.2,409.6,27.59469067,,,,,,,,,,,,,,,,
Ants,Pure Random,-2.15E+18,64,3,true,true,3,443,1.30E+11,0.2,409.6,81.12059692,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-9.60E+17,64,3,true,true,3,205,24906538300,0.2,204.8,44.39350419,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-9.60E+17,64,3,true,true,3,227,262500,0.2,204.8,47.56484524,,,,,,,,,,,,,,,,
Ants,Pure Random,-9.60E+17,64,3,true,true,3,511,1.03E+11,0.2,204.8,99.27580891,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,3.49E+18,64,3,true,true,3,169,74199827800,0.2,102.4,33.50247212,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,3.49E+18,64,3,true,true,3,219,422100,0.2,102.4,38.92348926,,,,,,,,,,,,,,,,
Ants,Pure Random,3.49E+18,64,3,true,false,1,571,99324636000,0.2,102.4,102.2054035,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,7.33E+18,64,3,true,true,2,225,29931760500,0.2,51.2,48.7917385,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
